Title,Ingredients,Directions,Picture,
Zinfandel-Braised Beef Short Ribs with Rosemary-Parsnip Mashed Potatoes,"['3 tablespoons room-temperature butter, divided', '8 3-to 4-inch-long meaty beef short ribs (about 4 pounds)', 'Coarse kosher salt', '2 1/2 cups chopped red onions', '2 cups 1/2-inch cubes peeled parsnips', '6 garlic cloves, chopped', '2 tablespoons chopped fresh rosemary', '1 750-ml bottle Zinfandel', '2 cups low-salt beef broth', '1 tablespoon all purpose flour', '3 tablespoons room-temperature butter, divided', '3 pounds russet potatoes, peeled, cut into 1-inch cubes', '1 pound large parsnips, peeled, cut into 3/4-inch cubes', '1 cup whole milk', '6 tablespoons (3/4 stick) butter', '1 tablespoon chopped fresh rosemary']","Preheat oven to 325°F. Melt 1 tablespoon butter in heavy large oven-proof pot over medium-high heat. Sprinkle ribs with coarse salt and pepper. Add to pot in single layer and sauté until brown on all sides, about 10 minutes. Transfer ribs to large bowl. Add 1 tablespoon butter to pot. Add onions; sauté until brown, about 6 minutes. Add parsnips; sauté until beginning to color, about 6 minutes. Mix in garlic, then rosemary. Add wine and broth; bring to boil, scraping up browned bits.
Return ribs and any accumulated juices to pot, arranging in single layer. Bring to simmer; cover and place in oven. Braise until ribs are very tender, about 2 1/2 hours.
Using tongs, transfer ribs to clean bowl. Spoon fat from pan juices. Boil juices until just beginning to thicken, about 10 minutes. Mix 1 tablespoon butter and flour in small bowl to smooth paste. Whisk into juices in pot; simmer until thickened enough to coat spoon, about 5 minutes longer. Season gravy with coarse salt and pepper. Return ribs to pot; spoon gravy over. DO AHEAD: Can be made 2 days ahead. Chill uncovered until cold, then cover and keep chilled. Rewarm over low heat before serving.
Cook potatoes and parsnips in large pot of boiling salted water until tender, about 15 minutes.
Meanwhile, bring milk, butter, and rosemary to simmer in small saucepan.
Drain potato mixture and return to pot. Stir briefly over medium heat to evaporate excess moisture. Add milk mixture and mash well. Season to taste with salt and pepper.
Transfer short ribs and gravy to large shallow serving bowl. Serve short ribs with mashed potatoes.",zinfandel-braised-beef-short-ribs-with-rosemary-parsnip-mashed-potatoes-352635,"['3 tablespoons room-temperature butter, divided', '8 3-to 4-inch-long meaty beef short ribs (about 4 pounds)', 'Coarse kosher salt', '2 1/2 cups chopped red onions', '2 cups 1/2-inch cubes peeled parsnips', '6 garlic cloves, chopped', '2 tablespoons chopped fresh rosemary', '1 750-ml bottle Zinfandel', '2 cups low-salt beef broth', '1 tablespoon all purpose flour', '3 tablespoons room-temperature butter, divided', '3 pounds russet potatoes, peeled, cut into 1-inch cubes', '1 pound large parsnips, peeled, cut into 3/4-inch cubes', '1 cup whole milk', '6 tablespoons (3/4 stick) butter', '1 tablespoon chopped fresh rosemary']"
Zhoug (Spicy Herb Sauce),"[""2 Hungarian wax peppers, stemmed and coarsely chopped (seeds are good) (see Cooks' Note below)"", '1 1/2 cups fresh cilantro leaves (from one large bunch or two small ones)', '1 1/2 cups fresh flat-leaf parsley leaves (from one bunch)', '2 cloves peeled garlic', '1/2 teaspoon kosher salt', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '1/2 cup extra-virgin olive oil', '1 1/2 teaspoons sherry vinegar']",Combine all the ingredients in a blender and blend until very smooth. You should have a bright green emulsified sauce. Use immediately or cover and refrigerate in an airtight container for up to 5 days.,zhoug-spicy-herb-sauce,"['""2 Hungarian wax peppers, stemmed and coarsely chopped (seeds are good) (see Cooks Note below)"", 1 1/2 cups fresh cilantro leaves (from one large bunch or two small ones)', '1 1/2 cups fresh flat-leaf parsley leaves (from one bunch)', '2 cloves peeled garlic', '1/2 teaspoon kosher salt', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '1/2 cup extra-virgin olive oil', '1 1/2 teaspoons sherry vinegar']"
Zeppole with Chocolate Sauce,"['8 ounces 70% bittersweet chocolate, chopped', '1 cup heavy whipping cream', '1/4 cup honey', '2 cups plus 1/2 tablespoon bread flour', '1/2 cup plus 1/2 tablespoon whole milk', '3 tablespoons sugar', '1 1/2 teaspoons lemon zest', '3/4 teaspoon active dry yeast (from 1 envelope)', '3/4 teaspoon fine sea salt', '2 large eggs', '3/4 cup (1 1/2 stick) unsalted butter, room temperature, cut into cubes', 'Vegetable oil (for deep-frying)', 'Powdered sugar']","Put chocolate in a medium bowl. Stir cream and honey in a small saucepan over medium heat until mixture starts to bubble; pour over chocolate and whisk until smooth. Keep warm. DO AHEAD: Can be made 3 days ahead. Cover and chill. Rewarm before using.
In the bowl of a stand mixer fitted with a paddle, combine flour and next 6 ingredients. Beat at low speed until dough forms. Gradually add butter, beating until absorbed between additions and occasionally scraping down sides of bowl. Increase speed to medium and beat until smooth and glossy, about 3 minutes. Scrape dough from paddle and sides of bowl. Cover with plastic wrap; let rise for 2 hours. Pour enough oil into a deep, heavy 5-quart pot to reach a depth of 1 1/2"" Attach a deep-fry thermometer to side of pot and heat oil over medium heat until it reaches 325°F. Working in batches, drop dough into oil by heaping teaspoonfuls (about 1""-diameter rounds). Cook, turning occasionally, until zeppole are golden and cooked, about 4 minutes per batch. Using a slotted spoon, transfer zeppole to paper towels; drain. Sift powdered sugar over zeppole or put sugar in a paper bag and add zeppole; shake gently to coat. Serve with sauce for dipping.",zeppole-with-chocolate-sauce-365179,"['8 ounces 70% bittersweet chocolate, chopped', '1 cup heavy whipping cream', '1/4 cup honey', '2 cups plus 1/2 tablespoon bread flour', '1/2 cup plus 1/2 tablespoon whole milk', '3 tablespoons sugar', '1 1/2 teaspoons lemon zest', '3/4 teaspoon active dry yeast (from 1 envelope)', '3/4 teaspoon fine sea salt', '2 large eggs', '3/4 cup (1 1/2 stick) unsalted butter, room temperature, cut into cubes', 'Vegetable oil (for deep-frying)', 'Powdered sugar']"
Zeppole,"['8 tablespoons unsalted butter', '1/4 cup plus 2 tablespoons sugar', '2 teaspoons table salt', '2 cups bread flour', '7 large eggs', '1 teaspoon cinnamon', 'Canola oil, for frying', 'Deep-fat fryer']","In a large saucepan over moderate heat, combine 2 cups water with the butter, 2 tablespoons of sugar, and the salt. Cook until the butter and sugar are melted, about 2 minutes. Bring to a boil and cook for 30 seconds, then remove from the heat. Stir in the flour then place over low heat, and using a wooden spoon, beat constantly until the dough is stiff, about 1 minute. Remove from the heat and let cool for 4 minutes.
Transfer the batter to a stand mixer fitted with a paddle attachment, and let the dough sit for 2 minutes. Turn the mixer on low and add the eggs, one at a time, until the batter is thick and ribbonlike (the dough should be the temperature of lukewarm water). Cover with plastic wrap and let the batter cool to room temperature, about 10 minutes.
Meanwhile, in a small bowl, whisk together the remaining 1/4 cup sugar and the cinnamon and set aside.
Line a baking sheet with 2 layers of paper towels.
Using a deep-fat fryer (or a heavy large pot and a deep-fat thermometer), heat the oil until it reaches 350°F. Working in 3 batches, carefully scoop 12 individual tablespoons of batter into the hot oil. Fry the _zeppole_s until golden brown, about 5 minutes per batch. Transfer as done to the prepared baking sheet and return oil to 350°F between batches.
Sprinkle with cinnamon-sugar mixture and serve immediately.",zeppole-363570,"['8 tablespoons unsalted butter', '1/4 cup plus 2 tablespoons sugar', '2 teaspoons table salt', '2 cups bread flour', '7 large eggs', '1 teaspoon cinnamon', 'Canola oil, for frying', 'Deep-fat fryer']"
Zebra-Striped Shortbread Cookies,"['2 1/3 cups all-purpose flour, divided', '1 1/2 tsp. kosher salt, divided', '1/3 cup Dutch-process cocoa powder', '1 1/4 cups (2 1/2 sticks) unsalted butter, room temperature', '2/3 cup granulated sugar', '1/4 cup powdered sugar', '1 large egg yolk', '1 tsp. vanilla extract or paste', '1 large egg, beaten to blend', '1/4 cup sanding sugar (any color)']","Whisk 1 1/3 cups flour and 3/4 tsp. salt in a medium bowl. Whisk cocoa powder, remaining 1 cup flour, and remaining 3/4 tsp. salt in another medium bowl. These are the bases for your chocolate and vanilla doughs.
Beat butter, granulated sugar, and powdered sugar in the bowl of a stand mixer on medium-high speed until light and fluffy, about 4 minutes. Add egg and vanilla and beat until smooth. Divide mixture between the 2 bowls of dry ingredients (about 1 cup in each). Scrape vanilla mixture back into stand mixer bowl (save the mixing bowl) and beat on low speed just until combined. Return to reserved bowl. Repeat process with chocolate mixture.
Arrange 2 large sheets of parchment paper on a work surface. Dollop one-quarter of chocolate dough in the center of each sheet and pat into rough 6x2"" rectangles. Dollop one-quarter of vanilla dough on top of each chocolate slab and pat into rectangles the same size and shape so that you have 2 layers each. Repeat entire process so you have 4 alternating layers. Tightly press stacked dough into cylinders about 1 1/2"" wide and 8"" long, using the parchment to help you. Wrap logs in plastic wrap and chill until very firm, at least 2 hours.
Place racks in upper and lower thirds of oven; preheat to 350°F. Working one at a time, unwrap dough and brush with egg. Carefully sprinkle surface with sanding sugar and roll logs in sugar to coat well (really press dough into sugar so it sticks). Slice into rounds a generous 1/4"" thick, rotating after every few cuts to keep slices round. Arrange cookies on parchment-lined baking sheets, spacing 2"" apart. Bake, rotating baking sheets top to bottom and front to back halfway through, until edges are just set, 12–14 minutes. Let cool on baking sheets.
Dough can be made 3 days ahead; keep chilled. Cookies can be baked 5 days ahead; store airtight at room temperature.",zebra-striped-shortbread-cookies,"['2 1/3 cups all-purpose flour, divided', '1 1/2 tsp. kosher salt, divided', '1/3 cup Dutch-process cocoa powder', '1 1/4 cups (2 1/2 sticks) unsalted butter, room temperature', '2/3 cup granulated sugar', '1/4 cup powdered sugar', '1 large egg yolk', '1 tsp. vanilla extract or paste', '1 large egg, beaten to blend', '1/4 cup sanding sugar (any color)']"
Zamosc Gefilte Fish,"['3 pounds carp (meat)', '1 1/2 pounds whitefish, pickerel, or rockfish (meat)', '1 1/2 pounds yellow pike or buffel (meat)', '6 onions', '2 tablespoons salt, or to taste', '6 eggs', '3 tablespoons sugar', '1 /2–1 cup matzah meal', '3/4 cup water', '1 teaspoon almond extract or 1/4 cup ground almonds (optional)', '1 1/4 teaspoons pepper', 'Horseradish (bottled or fresh)', '4 stalks celery, cut in 4-inch slices', '3 onions, sliced', '6 carrots, sliced on the bias', '8 cups water, or enough to cover bones with 1 inch to spare (use less rather than more)', 'Bones of fish (and heads, if desired)', '1 tablespoon salt', '1/2 tablespoon freshly ground pepper', '1 tablespoon sugar']","1. Place all the stock ingredients in a large kettle with a cover. Bring to a boil, then partially cover and reduce the heat to a simmer. While waiting for the pot to boil, begin preparing the fish.
2. In a wooden bowl, add to the ground-up fish all the other ingredients listed under Fish, carefully chopping very fine and blending. You can also use the grinder on a mixer. Wet your hands and form the fish into fat, oval-shaped patties, carefully sliding each into the simmering stock.
3. Simmer over a low flame slowly for 20 to 30 minutes or for 2 hours. Allow to cool in the pot and carefully remove all the patties, placing them on a platter.
After the fish has been removed, strain off the cooking liquid. This stock should then jell when chilled; if it does not, simply add a package of unflavored gelatin, following instructions on the package.
4. Serve the chilled gefilte fish with the jellied fish stock, horseradish, and of course the carrots.",zamosc-gefilte-fish-355907,"['3 pounds carp (meat)', '1 1/2 pounds whitefish, pickerel, or rockfish (meat)', '1 1/2 pounds yellow pike or buffel (meat)', '6 onions', '2 tablespoons salt, or to taste', '6 eggs', '3 tablespoons sugar', '1 /2–1 cup matzah meal', '3/4 cup water', '1 teaspoon almond extract or 1/4 cup ground almonds (optional)', '1 1/4 teaspoons pepper', 'Horseradish (bottled or fresh)', '4 stalks celery, cut in 4-inch slices', '3 onions, sliced', '6 carrots, sliced on the bias', '8 cups water, or enough to cover bones with 1 inch to spare (use less rather than more)', 'Bones of fish (and heads, if desired)', '1 tablespoon salt', '1/2 tablespoon freshly ground pepper', '1 tablespoon sugar']"
Zach's Escarole Salad,"['2 heads escarole, tough outer green leaves removed, remaining leaves torn into bite-sized pieces', '5 sunchokes, scrubbed and thinly sliced', '1/2 cup blanched whole almonds, toasted and ground or finely chopped', '1/2 cup coarsely grated Tuscan caciotta or cacio di Roma', '6 tablespoons Lemon Vinaigrette', 'Maldon or other flaky salt and coarsely ground black pepper']","Soak the escarole in a bowl of cool water for 10 minutes to crisp it. Drain and spin dry.
Combine the sunchokes, almonds, and cheese in a large bowl, tossing to mix. Add the escarole, tossing gently. Drizzle with half the vinaigrette, tossing to coat. Season with salt and pepper.
Transfer the salad to a serving bowl and serve with the remaining vinaigrette on the side.",zachs-escarole-salad-358449,"['2 heads escarole, tough outer green leaves removed, remaining leaves torn into bite-sized pieces', '5 sunchokes, scrubbed and thinly sliced', '1/2 cup blanched whole almonds, toasted and ground or finely chopped', '1/2 cup coarsely grated Tuscan caciotta or cacio di Roma', '6 tablespoons Lemon Vinaigrette', 'Maldon or other flaky salt and coarsely ground black pepper']"
Zabaglione Gelato,"['4 large egg yolks', '1/2 cup sugar', '1 cup whole milk', '1 cup heavy whipping cream', '6 tablespoons imported dry Marsala', '2 tablespoons dark rum', '1 teaspoon vanilla extract']","Whisk yolks and sugar in medium bowl until thick, about 2 minutes. Heat milk and cream in medium saucepan over medium heat until mixture bubbles at edges. Gradually whisk hot milk mixture into yolk mixture; return to saucepan. Stir over medium heat until custard leaves path on back of spoon when finger is drawn across and temperature registers 170°F, about 6 minutes. Immediately pour custard through sieve set over another medium bowl. Stir Marsala, rum, and vanilla into custard. Cover; refrigerate at least 3 hours.
Process custard in ice cream maker. Transfer gelato to container. Cover and freeze until firm, at least 6 hours. (Can be made 2 days ahead. Keep frozen.)",zabaglione-gelato-232110,"['4 large egg yolks', '1/2 cup sugar', '1 cup whole milk', '1 cup heavy whipping cream', '6 tablespoons imported dry Marsala', '2 tablespoons dark rum', '1 teaspoon vanilla extract']"
Za'atar Sweet Potatoes and Garlicky Kale,"['1 tablespoon sesame seeds', '1 tablespoon sumac', '2 teaspoons dried thyme', '1/4 teaspoon sea salt', '2 medium-size sweet potatoes, cut into cubes (about 4 cups)', 'Olive oil', '3 garlic cloves, chopped', '1 bunch kale, destemmed and roughly chopped (about 6 cups)', 'Sea salt']","Preheat the oven to 400ºF and line a baking tray with parchment paper.
To make the za'atar, first toast the sesame seeds. In a small dry pan, heat the seeds over medium for 3 to 5 minutes, until they're lightly browned. Stir occasionally, so they don't burn. Let them cool. In a small bowl, combine the sumac, thyme, sesame seeds, and salt.
Fill a medium pot halfway with water and bring it to a boil. Add the sweet potatoes and parboil them (cook them just until they start to soften). This will take 5 to 7 minutes. Drain the potatoes and transfer them to a medium bowl. Toss them with a glug of olive oil and 1 tablespoon of the za'atar seasoning until coated.
Spread the potatoes on the prepared baking sheet and roast them for 10 minutes. Using a spatula, move them around on the baking sheet and continue roasting for another 5 minutes or until they begin to slightly brown.
Mix 1 tablespoon of olive oil into the remaining za'atar and set it aside.
In a large skillet, heat a glug of olive oil over medium. When the pan is hot, add the garlic. Sauté until the garlic becomes fragrant, about a minute. Add the greens and stir until they turn bright green and begin to soften. Add the sweet potatoes and heat everything for a few more minutes.
Top the vegetables with some of the za'atar and oil mixture and serve.",zaatar-sweet-potatoes-and-garlicky-kale,"['1 tablespoon sesame seeds', '1 tablespoon sumac', '2 teaspoons dried thyme', '1/4 teaspoon sea salt', '2 medium-size sweet potatoes, cut into cubes (about 4 cups)', 'Olive oil', '3 garlic cloves, chopped', '1 bunch kale, destemmed and roughly chopped (about 6 cups)', 'Sea salt']"
Za'atar Spice Blend,"['1 cup picked fresh za’atar or oregano leaves (or 6 tablespoons dried oregano)', '3 tablespoons dried marjoram', '3 tablespoons toasted sesame seeds', '4 teaspoons dried thyme', '1 tablespoon ground sumac', '1 teaspoon fine sea salt']","If using fresh za’atar or oregano, arrange it on a towel-lined plate and microwave in 15-second intervals, stirring between intervals, until dry and crumbly, 2 to 2 1/2 minutes.
Crumble the leaves by hand or in a spice grinder until almost fine (the way dried herbs look), then combine in a medium bowl with the marjoram, sesame seeds, thyme, sumac, and salt. Store in an airtight container for up to 3 months.",zaatar-spice-blend,"['1 cup picked fresh za’atar or oregano leaves (or 6 tablespoons dried oregano)', '3 tablespoons dried marjoram', '3 tablespoons toasted sesame seeds', '4 teaspoons dried thyme', '1 tablespoon ground sumac', '1 teaspoon fine sea salt']"
Za'atar Roast Chicken with Green Tahini Sauce,"['2 garlic cloves, smashed', '1 cup (lightly packed) flat-leaf parsley leaves with tender stems', '1/2 cup tahini', '1/4 cup fresh lemon juice', 'Kosher salt', '1 3 1/2–4-pound chicken, cut into quarters, or 2 large skin-on, bone-in chicken breasts and 2 skin-on, bone-in chicken legs', '2 medium red onions, thinly sliced', '2 garlic cloves, smashed', '1 lemon, thinly sliced, seeds removed', '1 tablespoon sumac', '1 1/2 teaspoons ground allspice', '1 teaspoon ground cinnamon', '1 cup low-sodium chicken broth or water', '1/4 cup olive oil, plus more for drizzling', 'Kosher salt, freshly ground pepper', ""2 tablespoons za'atar"", '2 tablespoons unsalted butter', '1/4 cup pine nuts', '6 pieces lavash or other flatbread', ""Za'atar and sumac are available at Middle Eastern markets and specialty foods stores, and online.""]","Green tahini sauce Pulse garlic, parsley, tahini, lemon juice, and 1/2 cup water in a food processor, adding more water if needed, until smooth (sauce should be the consistency of a thin mayonnaise); season with salt.
Do ahead: Sauce can be made 1 day ahead. Cover and chill.
Chicken and assembly Preheat oven to 400°. Toss chicken, onions, garlic, lemon, sumac, allspice, cinnamon, broth, and 1/4 cup oil in a large resealable plastic bag; season with salt and pepper. Chill at least 2 hours.
Place chicken, onions, garlic, and lemon on a rimmed baking sheet, spooning any remaining marinade over and around chicken. Sprinkle with za'atar and roast until chicken is browned and cooked through, 45–55 minutes.
Meanwhile, melt butter in a small skillet over medium-high heat. Add pine nuts and cook, stirring often, until butter foams, then browns, and nuts are golden brown (be careful not to burn), about 4 minutes; season with salt.
Slice chicken breasts, if desired. Serve chicken with roasted onion and lemon, topped with pine nuts, with green tahini sauce and lavash.
Do ahead: Chicken can be marinated 1 day ahead. Keep chilled.",zaatar-roast-chicken-with-green-tahini-sauce-51241990,"['2 garlic cloves, smashed', '1 cup (lightly packed) flat-leaf parsley leaves with tender stems', '1/2 cup tahini', '1/4 cup fresh lemon juice', 'Kosher salt', '1 3 1/2–4-pound chicken, cut into quarters, or 2 large skin-on, bone-in chicken breasts and 2 skin-on, bone-in chicken legs', '2 medium red onions, thinly sliced', '2 garlic cloves, smashed', '1 lemon, thinly sliced, seeds removed', '1 tablespoon sumac', '1 1/2 teaspoons ground allspice', '1 teaspoon ground cinnamon', '1 cup low-sodium chicken broth or water', '1/4 cup olive oil, plus more for drizzling', 'Kosher salt, freshly ground pepper', '""2 tablespoons zaatar"", 2 tablespoons unsalted butter', '1/4 cup pine nuts', '6 pieces lavash or other flatbread', '""Zaatar and sumac are available at Middle Eastern markets and specialty foods stores', 'and online.""']"
Za’atar Fish and Chips,"['1 small red onion, finely chopped', '4 Tbsp. apple cider vinegar, divided', 'Kosher salt', '1½ lb. small Yukon Gold potatoes, halved or quartered lengthwise', '6 Tbsp. extra-virgin olive oil, divided', '1 (1¼-lb.) skinless, boneless cod fillet, preferably in 1 piece', '1 Tbsp. za’atar', '¾ cup pitted Castelvetrano olives', '½ cup coarsely chopped mint']","Place racks in upper and lower thirds of oven; preheat oven to 425°F. Mix onion, 2 Tbsp. vinegar, and a big pinch of salt in a small bowl to combine; let sit at least 10 minutes and up to 1 hour. Drain off vinegar and discard.
Meanwhile, toss potatoes and 3 Tbsp. oil on a large rimmed baking sheet; arrange in a single layer. Roast on top rack, undisturbed, until browned and crisp underneath, 20–25 minutes. Turn potatoes over and reduce oven temperature to 325°F. Place cod on a small rimmed baking sheet and drizzle with 1 Tbsp. oil. Season with salt and sprinkle with za’atar. Slide onto bottom rack in oven and roast until fish flakes easily with a fork and potatoes are browned all over, about 10 minutes.
Stir olives, mint, remaining 2 Tbsp. vinegar, and remaining 2 Tbsp. oil into pickled onion. Serve cod and potatoes topped with olive mixture.",zaatar-fish-and-chips,"['1 small red onion, finely chopped', '4 Tbsp. apple cider vinegar, divided', 'Kosher salt', '1½ lb. small Yukon Gold potatoes, halved or quartered lengthwise', '6 Tbsp. extra-virgin olive oil, divided', '1 (1¼-lb.) skinless, boneless cod fillet, preferably in 1 piece', '1 Tbsp. za’atar', '¾ cup pitted Castelvetrano olives', '½ cup coarsely chopped mint']"
Za’atar Chicken with Garlicky Yogurt,"['4 chicken legs (thigh and drumstick; about 2 1/2 lb. total)', '2 medium red onions, cut into 1""-thick wedges', '2 heads of garlic, halved crosswise, plus 2 cloves', '1 lemon, quartered, seeds removed', 'Kosher salt', '1/3 cup extra-virgin olive oil', '1 1/2 cups plain whole-milk Greek yogurt', '3 Tbsp. za’atar', '1 tsp. ground coriander', '1 tsp. finely grated lemon zest', '1 tsp. finely grated lime zest']","Preheat oven to 325°F. Pat chicken legs dry with paper towels. Arrange chicken, onions, halved garlic heads, and lemon in a 13x9"" baking dish; season liberally with salt (remember to season both sides of chicken). Pour in oil and toss everything to coat. Turn garlic cut side down and nestle it in so it is in contact with the baking dish. Roast, rotating pan halfway through, until meat is almost falling off the bone, 50–60 minutes.
Meanwhile, finely grate 1 garlic clove into a small bowl. Add yogurt, a big pinch of salt, and 1 Tbsp. water and mix well. Set aside yogurt sauce.
Remove baking dish from oven and transfer onions, garlic, and lemon to a plate. Increase oven temperature to 425°F and continue to roast chicken until skin is golden brown, 10–15 minutes more. Transfer chicken to a cutting board and let rest 10 minutes. Set aside pan with juices.
Finely grate remaining garlic clove into another small bowl. Add za’atar, coriander, lemon zest, and lime zest. Pour reserved juices in pan into za’atar mixture until you’ve reached an oily consistency (about 1/3 cup). Mix in a pinch of salt.
Spread reserved yogurt sauce over a platter and arrange chicken legs on top. Scatter onions, garlic, and lemon around; drizzle with za’atar oil.",za-atar-chicken-with-garlicky-yogurt,"['4 chicken legs (thigh and drumstick; about 2 1/2 lb. total)', '2 medium red onions, cut into 1""-thick wedges', '2 heads of garlic, halved crosswise, plus 2 cloves', '1 lemon, quartered, seeds removed', 'Kosher salt', '1/3 cup extra-virgin olive oil', '1 1/2 cups plain whole-milk Greek yogurt', '3 Tbsp. za’atar', '1 tsp. ground coriander', '1 tsp. finely grated lemon zest', '1 tsp. finely grated lime zest']"
Yuzu Kosho,"['1 cup finely grated lime zest (from about 16 limes)', '2 tablespoons finely grated lemon zest', '2 tablespoons finely grated grapefruit zest (preferably white)', '1 teaspoon kosher salt', '2 tablespoons fresh grapefruit juice (preferably white)', '2 tablespoons bottled yuzu juice', '1 green Thai chile, seeded, minced', '2 teaspoons fresh lime juice', 'Pinch of sugar', 'Ingredient info: Look for bottled yuzu juice at Asian markets and yuzupassion.com.']","Combine zests and salt on a cutting board. Chop, dragging the knife blade at an angle across mixture, until a coarse paste forms. Transfer to a small bowl. Mix in remaining ingredients. Transfer to a small jar, cover, and chill for 2 days. DO AHEAD: Can be made 2 weeks ahead. Keep chilled.",yuzu-kosho-380602,"['1 cup finely grated lime zest (from about 16 limes)', '2 tablespoons finely grated lemon zest', '2 tablespoons finely grated grapefruit zest (preferably white)', '1 teaspoon kosher salt', '2 tablespoons fresh grapefruit juice (preferably white)', '2 tablespoons bottled yuzu juice', '1 green Thai chile, seeded, minced', '2 teaspoons fresh lime juice', 'Pinch of sugar', 'Ingredient info: Look for bottled yuzu juice at Asian markets and yuzupassion.com.']"
Yum Yum Nut Sweets,"['1/2 teaspoon safflower oil', '1 cup whole roasted unsalted almonds', '1 cup whole walnuts', '1/3 cup sugar', '2 egg whites']","Preheat the oven to 300°F. Grease a 7- or 8-inch square baking pan with the oil. Set aside. Place the nuts in a food processor and chop until the mixture resembles coarse sand. Put the contents into a small mixing bowl. Stir in the sugar and egg whites. With a spatula, scrape the contents of the bowl into the oiled pan and press into an even layer. Bake for 1 hour for soft cookies or 1 1/2 hours for crisp cookies. Remove from the oven. Allow to cool. Cut into 1 3/4- or 2-inch squares.
Chocolate Yum Yums: Even though these are simply a chocolate version of the Yum Yums, everyone seems to think that they are brownies. Yum. Melt 2 1/2 ounces of 70% dark—not milk—chocolate in a double boiler. Add to the mixing bowl after the sugar and egg whites. Proceed as directed.",yum-yum-nut-sweets-369549,"['1/2 teaspoon safflower oil', '1 cup whole roasted unsalted almonds', '1 cup whole walnuts', '1/3 cup sugar', '2 egg whites']"
Yummy Mummy Meatloaf,"['1 1/2 pounds ground beef', '1 egg', '1 medium onion, chopped', '1 cup milk', '1 cup dry breadcrumbs', '1/4 teaspoon salt', '1/8 teaspoon ground black pepper', '1/3 cup ketchup', '2 tablespoons brown sugar', '2 tablespoons prepared mustard', '8 ounces pappardelle pasta', '1 3-ounce mozzarella ball', '1 can pitted large black olives', '3/4 cup ketchup', '3/4 cup water', '1/4 cup brown sugar', '1/2 teaspoon prepared mustard']","1. Heat the oven to 350°F. Lightly oil a 10 x 13-inch (or 10-inch round) baking dish. Combine the meat, egg, onion, milk, breadcrumbs, salt, and pepper in a large bowl. Shape the mixture into a 10-inch round dome and place it in the baking dish. Mix the 1/3 cup ketchup, 2 tablespoons brown sugar, and 2 tablespoons prepared mustard in a small bowl until blended. Spread the mixture over the meatloaf. Bake for 1 hour. Transfer the meatloaf to a wire rack and let rest for 20 minutes.
2. Cook the pappardelle according to the package directions; drain and keep warm while meatloaf rests.
1. Combine all the ingredients in a small saucepan. Cook over medium heat, stirring, until bubbly and thickened, about 3 minutes. Keep warm until ready to serve.
2. Remove the meatloaf from the pan and place on a serving plate. Cut the mozzarella ball in half. Layer the pasta strands one by one over the meatloaf to look like a mummy's wrappings, adding the mozzarella and two olives for eyes as shown. Surround the meatloaf with more olives. Serve with the sauce on the side.",yummy-mummy-meatloaf-355709,"['1 1/2 pounds ground beef', '1 egg', '1 medium onion, chopped', '1 cup milk', '1 cup dry breadcrumbs', '1/4 teaspoon salt', '1/8 teaspoon ground black pepper', '1/3 cup ketchup', '2 tablespoons brown sugar', '2 tablespoons prepared mustard', '8 ounces pappardelle pasta', '1 3-ounce mozzarella ball', '1 can pitted large black olives', '3/4 cup ketchup', '3/4 cup water', '1/4 cup brown sugar', '1/2 teaspoon prepared mustard']"
Yukon Gold Potato Salad with Crispy Prosciutto and Truffle Oil,"['2 pounds Yukon Gold potatoes, peeled, cut into 1/4-inch-thick slices', '2 1/2 cups low-salt chicken broth', '2 tablespoons (1/4 stick) butter', '3 ounces chopped sliced prosciutto', '1 cup chopped celery', '1/2 cup chopped sweet onion (such as Vidalia or Maui)', '1/2 cup chopped fresh chives', '1 tablespoon (or more) truffle oil', '1 tablespoon fresh lemon juice']","Place potatoes in large saucepan. Add chicken broth. Bring to boil. Reduce heat to medium and simmer, partially covered, until potatoes are just tender, about 6 minutes. Drain potatoes, reserving broth. Place potatoes in large bowl. Return broth to same saucepan and boil until reduced to 1/3 cup, about 13 minutes. Pour over potatoes and toss gently until broth is absorbed.
Melt butter in medium nonstick skillet over medium heat. Add prosciutto and sauté until crisp, about 6 minutes. Transfer prosciutto and butter from skillet to bowl with potatoes. Add celery, onion, and chives to potatoes. Whisk 1 tablespoon truffle oil and lemon juice in small bowl to blend. Drizzle over potato mixture; toss to coat. Season salad to taste with salt, pepper, and additional truffle oil, if desired. Serve warm or at room temperature. (Can be made 2 hours ahead. Let stand at room temperature.)",yukon-gold-potato-salad-with-crispy-prosciutto-and-truffle-oil-232374,"['2 pounds Yukon Gold potatoes, peeled, cut into 1/4-inch-thick slices', '2 1/2 cups low-salt chicken broth', '2 tablespoons (1/4 stick) butter', '3 ounces chopped sliced prosciutto', '1 cup chopped celery', '1/2 cup chopped sweet onion (such as Vidalia or Maui)', '1/2 cup chopped fresh chives', '1 tablespoon (or more) truffle oil', '1 tablespoon fresh lemon juice']"
